track_id,spotify_track_uri
01k0JjUZIzbYE7DL1g3XJe,spotify:track:01k0JjUZIzbYE7DL1g3XJe
01kXBBi2y0UKkk0Z4PgHzI,spotify:track:01kXBBi2y0UKkk0Z4PgHzI
01knoBTT1GjAOUtWic4Ngm,spotify:track:01knoBTT1GjAOUtWic4Ngm
01kwQnogRyreCe5iyShk0e,spotify:track:01kwQnogRyreCe5iyShk0e
01myGB1uGiHVGKRxZ4Asuw,spotify:track:01myGB1uGiHVGKRxZ4Asuw
01nNbNRpw0hUPSeSik6KxS,spotify:track:01nNbNRpw0hUPSeSik6KxS
01oZjrRICAL5l0sSFqpb5D,spotify:track:01oZjrRICAL5l0sSFqpb5D
01osHBszHeh7yUOSRcV21E,spotify:track:01osHBszHeh7yUOSRcV21E
01pTpvBghy8H9l7IGWOq5r,spotify:track:01pTpvBghy8H9l7IGWOq5r
01poKLn3fi5kHyTFeyTfuV,spotify:track:01poKLn3fi5kHyTFeyTfuV
01q4ccXbvPlCwZ1fPiFaeM,spotify:track:01q4ccXbvPlCwZ1fPiFaeM
01qdc0JgUl3RwqfVMLB7SY,spotify:track:01qdc0JgUl3RwqfVMLB7SY
01qlMNHRVe4phGzL5hGc6C,spotify:track:01qlMNHRVe4phGzL5hGc6C
01qwdnPcVWukM5tMhCf4rG,spotify:track:01qwdnPcVWukM5tMhCf4rG
01tN2TFGKF109Hf5fBrRb8,spotify:track:01tN2TFGKF109Hf5fBrRb8
01tPWVf2QA5lchGfVtHvFI,spotify:track:01tPWVf2QA5lchGfVtHvFI
01tbEd8UoLfr8op1EtOsu2,spotify:track:01tbEd8UoLfr8op1EtOsu2
01wEvZYVxxdK7HEYLaCSqC,spotify:track:01wEvZYVxxdK7HEYLaCSqC
01wXfCBo77uUC28WA3V632,spotify:track:01wXfCBo77uUC28WA3V632
01wdtr66r5fwd8mIQwisMK,spotify:track:01wdtr66r5fwd8mIQwisMK
01xPZFZG8BnhJVA6cWV8RN,spotify:track:01xPZFZG8BnhJVA6cWV8RN
01xgyBcDL3TPy17i7obQbb,spotify:track:01xgyBcDL3TPy17i7obQbb
01ypcnKn2NHB017nhb2KOs,spotify:track:01ypcnKn2NHB017nhb2KOs
01yqm6MIIlCdOXCtrYJpRx,spotify:track:01yqm6MIIlCdOXCtrYJpRx
020ffiIfWvx5EH9VJ8Dkg2,spotify:track:020ffiIfWvx5EH9VJ8Dkg2
020lvtNqGfuA6HDel8gu0m,spotify:track:020lvtNqGfuA6HDel8gu0m
021EWAjz6mP3irZuFUQFbl,spotify:track:021EWAjz6mP3irZuFUQFbl
021Uxj35X52xeXHjCZEFNx,spotify:track:021Uxj35X52xeXHjCZEFNx
022Hks9BZTPSabeyAxwyW4,spotify:track:022Hks9BZTPSabeyAxwyW4
022YWHwbMassgXX6K9MMt5,spotify:track:022YWHwbMassgXX6K9MMt5
022wDxlVCvDk76NA76kbmM,spotify:track:022wDxlVCvDk76NA76kbmM
